Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
236,27.13714144632679,43,0,790
237,26.850061539888177,38,0,800
238,26.784371224079603,38,0,803
239,26.91216145638851,34,0,806
240,27.091382832425474,32,0,809
241,27.300737986091157,30,0,811
242,27.5305417508145,29,0,812
243,27.786560316964657,27,0,814
244,28.038645421123547,20,0,819
245,28.228112012783715,20,0,821
246,28.47689957172782,19,0,822
247,28.74041111388092,19,0,821
248,29.03355746249351,19,0,822
249,29.32481586861225,19,0,822
250,29.623748804281117,20,0,821
251,29.9428155038004,20,0,821
252,30.2526135588458,19,0,822
253,30.540356101661185,18,0,822
254,30.824413654080903,17,0,824
255,31.089903472487823,17,0,823
256,31.379239988635895,15,0,824
257,31.657073953427705,15,0,825
258,31.947628021842192,14,0,827
259,32.21524544141915,14,0,824
260,32.51845794550916,9,0,714
261,33.60034852722159,6,0,687
262,34.4583775449478,5,0,737
263,34.64167621147392,5,0,783
264,34.534899276704856,4,0,809
265,34.45311016660403,4,0,818
266,34.4996480429764,4,0,816
267,34.68746057959636,4,0,808
268,34.98607441892998,4,0,818
269,35.197947984630915,4,0,816
270,35.45899717397631,4,0,805
271,35.80264120859798,4,0,802
272,36.14621082236483,3,0,791
273,36.532562203961774,3,0,781
274,36.925941351836464,3,0,778
275,37.29785559219166,3,0,772
276,37.66742646896649,2,0,761
277,38.05864632269555,2,0,754
278,38.444887688317245,2,0,746
279,38.840449548663024,2,0,735
280,39.25773734035998,2,0,728
281,39.653378348826074,2,0,716
282,40.07218081248366,2,0,708
283,40.47013936435657,2,0,698
284,40.88877468785412,2,0,691
285,41.28475098557228,2,0,678
286,41.71472770190361,1,0,538
287,43.11026616656372,0,0,410
288,44.888970334090565,0,0,328
289,46.482969077174445,0,0,300
290,47.64486694923135,0,0,284
291,48.48385956278376,0,0,280
292,49.08414004256433,0,0,280
293,49.555934287736065,0,0,263
294,50.059398425249256,0,0,252
295,50.54912791016905,0,0,245
296,50.97535408961453,0,0,238
297,51.361308097695634,0,0,238
298,51.68370921877103,0,0,235
299,51.99191921408631,0,0,233
300,52.279850264085105,0,0,230
301,52.57556145866012,0,0,228
302,52.85527368318189,0,0,228
303,53.12204014788466,0,0,222
304,53.408184108151126,0,0,222
305,53.681428350602445,0,0,223
306,53.93619503237175,0,0,223
307,54.18416622785347,0,0,220
308,54.44581629643173,0,0,217
309,54.71245318257839,0,0,218
310,54.961224012293584,0,0,218
311,55.2101568411448,0,0,218
312,55.45281865022704,0,0,210
313,55.73780789231318,0,0,202
314,56.02924183356969,0,0,199
315,56.300246275079765,0,0,205
316,56.51917229101281,0,0,206
317,56.73808313194521,0,0,208
318,56.9481022310882,0,0,212
319,57.1701804380528,0,0,215
320,57.37387335957953,0,0,214
321,57.59924426448214,0,0,216
322,57.81539544808535,0,0,214
323,58.046778384227416,0,0,213
324,58.28343846968402,0,0,215
325,58.50322693509211,0,0,215
326,58.72567573654271,0,0,215
327,58.948629313523476,0,0,215
328,59.17133740558753,0,0,216
329,59.38569604406976,0,0,216
330,59.60378787266174,0,0,213
331,59.83573138803718,0,0,216
332,60.047563618761856,0,0,215
333,60.27137866090648,0,0,215
334,60.486560734288595,0,0,212
335,60.719618494344324,0,0,213
336,60.936205368041854,0,0,216
337,61.139902096918284,0,0,216
338,61.35040268444238,0,0,211
339,61.59671110866483,0,0,207
340,61.839462300081294,0,0,203
341,62.08538675829496,0,0,208
342,62.28370033941639,0,0,208
343,62.47919252189254,0,0,212
344,62.6732386768058,0,0,211
345,62.88469226483706,0,0,213
346,63.07399293630859,0,0,215
347,63.274537873879275,0,0,215
348,63.47970572279203,0,0,214
349,63.68755063325182,0,0,212
350,63.904698105088244,0,0,215
351,64.10360844127298,0,0,216
352,64.29875621168208,0,0,215
353,64.50711732096727,0,0,215
354,64.71298238953734,0,0,215
355,64.91742382185029,0,0,216
356,65.11308280396706,0,0,215
357,65.32016552918772,0,0,216
358,65.51622286887238,0,0,215
359,65.71736148974544,0,0,215
360,65.917760913712,0,0,214
361,66.13082053645327,0,0,216
362,66.32045738203423,0,0,216
363,66.5150490131046,0,0,216
364,66.71137236102183,0,0,211
365,66.94174637350963,0,0,207
366,67.17326611828925,0,0,203
367,67.38342130838687,0,0,207
368,67.57448507793649,0,0,209
369,67.75268020380364,0,0,211
370,67.94039992531658,0,0,213
371,68.12692768540353,0,0,215
372,68.29646074278176,0,0,215
373,68.4840546497003,0,0,216
374,68.66622735597362,0,0,215
375,68.86123725673241,0,0,213
376,69.0575904485593,0,0,215
377,69.24603174773239,0,0,216
378,69.42761277579886,0,0,214
379,69.62360648905977,0,0,214
380,69.82043720233942,0,0,216
381,69.99669904433598,0,0,216
382,70.17920825471008,0,0,215
383,70.37184935530941,0,0,216
384,70.5529759283651,0,0,215
385,70.74439750096718,0,0,216
386,70.92441038870173,0,0,214
387,71.1225932356045,0,0,216
388,71.29713933242039,0,0,216
389,71.47675583575725,0,0,216
390,71.65822096942009,0,0,212
391,71.86067147961322,0,0,208
392,72.07678716254154,0,0,205
393,72.27525689942277,0,0,211
