Tick,GlobalTemperature,BlackPopulation,WhitePopulation,GrayPopulation
282,52.177698747023165,216,0,0
283,52.44500652880574,216,0,0
284,52.70967615065724,216,0,0
285,52.972734668722886,214,0,0
286,53.221971343431946,213,0,0
287,53.47436039308826,212,0,0
288,53.714369668190436,211,0,0
289,53.95453148090898,211,0,0
290,54.22401766773746,209,0,0
291,54.460285833251795,212,0,0
292,54.72868268657889,212,0,0
293,54.981764826747025,216,0,0
294,55.26589566318382,213,0,0
295,55.515838775686724,215,0,0
296,55.77259860777926,213,0,0
297,56.01359287836735,216,0,0
298,56.28005097777409,215,0,0
299,56.52604030639396,216,0,0
300,56.781968893595234,215,0,0
301,57.02258038210617,215,0,0
302,57.26556644410033,216,0,0
303,57.51860912253878,216,0,0
304,57.765892458750365,215,0,0
305,58.00063700009848,216,0,0
306,58.24851417214344,216,0,0
307,58.49200268739439,215,0,0
308,58.73012041399783,216,0,0
309,58.971587083745405,216,0,0
310,59.210619739309486,216,0,0
311,59.448242535151564,215,0,0
312,59.675227114983585,215,0,0
313,59.906642345711425,214,0,0
314,60.12991131954295,212,0,0
315,60.34617070325694,212,0,0
316,60.57819058725887,209,0,0
317,60.78799377636767,212,0,0
318,61.02522484971657,212,0,0
319,61.25773242057742,216,0,0
320,61.51977186282102,212,0,0
321,61.743918724924946,215,0,0
322,61.979787540229935,213,0,0
323,62.19825704436235,216,0,0
324,62.441951539506185,215,0,0
325,62.6651956147132,216,0,0
326,62.898485659139176,215,0,0
327,63.1165991662184,215,0,0
328,63.33724091551182,216,0,0
329,63.568097587903715,216,0,0
330,63.7933542853792,215,0,0
331,64.00623107256553,216,0,0
332,64.23239822055224,216,0,0
333,64.45433299779214,215,0,0
334,64.67105170923824,216,0,0
335,64.89127248133767,216,0,0
336,65.10921074431559,216,0,0
337,65.32588904907163,215,0,0
338,65.53207745187326,215,0,0
339,65.74284325148322,214,0,0
340,65.94560799256102,212,0,0
341,66.14150681534464,212,0,0
342,66.35330830470802,211,0,0
343,66.55557068063673,212,0,0
344,66.7655687228331,212,0,0
345,66.97534015060016,216,0,0
346,67.21644952019457,213,0,0
347,67.42348870967635,215,0,0
348,67.63756034801123,213,0,0
349,67.83612993430197,216,0,0
350,68.06044685614454,215,0,0
351,68.26458598605821,216,0,0
352,68.47895713943312,215,0,0
353,68.67830314510095,215,0,0
354,68.88031367075634,216,0,0
355,69.09266821648224,216,0,0
356,69.29954804728088,215,0,0
357,69.49417084441399,216,0,0
358,69.70220514555496,216,0,0
359,69.90612678571064,215,0,0
360,70.10495078102123,216,0,0
361,70.30739404370964,216,0,0
362,70.50767083233325,216,0,0
363,70.70680255382118,215,0,0
364,70.89555814115123,215,0,0
365,71.08900378707831,213,0,0
366,71.27157496965776,212,0,0
367,71.45227862795039,212,0,0
368,71.65428280827587,210,0,0
369,71.83344693329977,212,0,0
370,72.02699902294395,212,0,0
371,72.22002327120069,215,0,0
372,72.4415224977545,212,0,0
373,72.62441944572464,215,0,0
374,72.8281345621364,213,0,0
375,73.01301012518073,216,0,0
376,73.2222932461804,215,0,0
377,73.41088265462591,216,0,0
378,73.60953185629413,215,0,0
379,73.79313199361589,215,0,0
380,73.97943820412291,216,0,0
381,74.17615919108242,216,0,0
382,74.36748917864703,215,0,0
383,74.54665141003154,216,0,0
384,74.73931657586968,216,0,0
385,74.9279610803147,215,0,0
386,75.11159976982313,216,0,0
387,75.29894904284252,216,0,0
388,75.4842224857843,216,0,0
389,75.6684407629232,215,0,0
390,75.8423720358112,215,0,0
391,76.02108171687536,214,0,0
392,76.1919894805596,212,0,0
393,76.35622861655476,212,0,0
394,76.54313282794539,210,0,0
395,76.70765096497175,212,0,0
396,76.8867865974485,212,0,0
397,77.065539488474,216,0,0
398,77.27586227313225,212,0,0
399,77.43622233586558,215,0,0
400,77.62882185544903,213,0,0
401,77.80123191969844,216,0,0
402,77.90668472261595,215,0,0
403,77.9475078341057,216,0,0
404,77.9772259199691,215,0,0
405,77.98181011211577,215,0,0
406,77.98443141579166,216,0,0
407,77.99545248359946,216,0,0
408,78.00036981445993,215,0,0
409,77.99304579019118,216,0,0
410,77.99946432520191,216,0,0
411,78.00225465618897,215,0,0
412,78.00050545112427,216,0,0
413,78.0029679807705,216,0,0
414,78.00387149633806,216,0,0
415,78.00424285576655,215,0,0
416,77.99485174830487,215,0,0
417,77.99076282092591,213,0,0
418,77.97640888554378,212,0,0
419,77.96079367850183,213,0,0
420,77.96349982384488,210,0,0
421,77.9491328990111,212,0,0
422,77.9492260550457,212,0,0
423,77.94881984796253,216,0,0
424,77.98019478924894,212,0,0
425,77.96197415885011,215,0,0
426,77.97642994757688,213,0,0
427,77.9711639452147,216,0,0
428,77.99008007656755,215,0,0
429,77.9885164473882,216,0,0
430,77.99741960132445,215,0,0
431,77.99176457927108,215,0,0
432,77.98934261723419,216,0,0
433,77.99787718590424,216,0,0
434,78.00156760707262,215,0,0
435,77.99363778882939,216,0,0
436,77.99975704163667,216,0,0
437,78.00239944602158,215,0,0
438,78.00057709434198,216,0,0
439,78.00300344110882,216,0,0
440,78.00388905246187,216,0,0
441,78.00425154980391,215,0,0
442,77.99485605468324,215,0,0
443,77.9907649544258,213,0,0
444,77.97640994274069,211,0,0
445,77.95124227874024,214,0,0
446,77.96232474920173,211,0,0
447,77.95135077177996,211,0,0
448,77.94694158458303,212,0,0
449,77.94801106010034,216,0,0
450,77.97985075542789,212,0,0
451,77.97495521267916,215,0,0
452,77.98251702383342,213,0,0
453,77.9739151911174,216,0,0
454,77.9913397579972,215,0,0
455,77.98910027729323,216,0,0
456,77.9976927858391,215,0,0
457,77.99189337268058,215,0,0
458,77.9894037056512,216,0,0
459,77.99790630489315,216,0,0
460,78.00158154458678,215,0,0
461,77.99364448315879,216,0,0
462,77.99976026657924,216,0,0
463,78.00240100361563,215,0,0
464,78.00057784832474,216,0,0
465,78.0030038068098,216,0,0
466,78.00388923014684,216,0,0
467,78.0042516362716,215,0,0
468,77.99485609682034,215,0,0
469,77.99076497498585,213,0,0
470,77.97640995278411,212,0,0
471,77.96079420737013,213,0,0
472,77.96350008596947,211,0,0
473,77.95211800511174,212,0,0
474,77.95030817332632,212,0,0
475,77.94927753738457,216,0,0
476,77.98039677924683,212,0,0
477,77.96206547160605,215,0,0
478,77.97647191282766,213,0,0
479,77.97118346388136,216,0,0
480,77.99008923754928,215,0,0
481,77.98852077751799,216,0,0
482,77.99742165965651,215,0,0
483,77.99176556223705,215,0,0
484,77.98934308846441,216,0,0
485,77.99787741254583,216,0,0
486,78.0015677163809,215,0,0
487,77.993637841675,215,0,0
488,77.99020514352006,216,0,0
489,77.99823914792181,215,0,0
490,77.99872781437003,216,0,0
491,78.00216417456802,216,0,0
492,78.00350233605947,216,0,0
493,78.0040713462525,215,0,0
494,77.99477135927388,215,0,0
495,77.99072487830024,213,0,0
496,77.97639087624621,212,0,0
497,77.96078509087467,213,0,0
498,77.9700626605893,211,0,0
499,77.95519415758517,211,0,0
500,77.9487138104637,212,0,0
501,77.94883228788076,216,0,0
502,77.98023414933353,212,0,0
503,77.96200132086472,215,0,0
504,77.97644538253275,213,0,0
505,77.97117208463388,216,0,0
506,77.99008421177182,215,0,0
507,77.98851850432195,216,0,0
508,77.99742061129214,215,0,0
509,77.99176507102383,215,0,0
510,77.98934285532202,216,0,0
511,77.99787730073022,216,0,0
512,78.00156766230067,215,0,0
513,77.99363781534089,216,0,0
514,77.99975705434551,216,0,0
515,78.0023994521077,215,0,0
516,78.00057709725432,216,0,0
517,78.00300344250167,216,0,0
518,78.0038890531277,216,0,0
519,78.00425155012219,215,0,0
520,77.99485605483521,214,0,0
521,77.98777997833632,214,0,0
522,77.97831286507869,212,0,0
523,77.96141859885617,212,0,0
524,77.96733968770651,210,0,0
525,77.94467500702953,212,0,0
526,77.94713275201036,211,0,0
527,77.94490208865969,216,0,0
528,77.97869041735163,212,0,0
529,77.96132228105073,215,0,0
530,77.9761375331305,213,0,0
531,77.97103010556593,216,0,0
532,77.99001795001571,215,0,0
533,77.9884873094892,216,0,0
534,77.9974058275489,215,0,0
535,77.99175802819441,215,0,0
536,77.9893394861247,216,0,0
537,77.99787568341546,216,0,0
538,78.00156688371922,215,0,0
539,77.99363743962124,216,0,0
540,77.99975687265807,216,0,0
541,78.00239936409046,215,0,0
542,78.00057705454788,216,0,0
543,78.00300342175129,216,0,0
544,78.00388904303274,216,0,0
545,78.00425154520568,215,0,0
546,77.99485605243822,215,0,0
547,77.99076495332878,213,0,0
548,77.97640994220409,212,0,0
549,77.96079420219625,214,0,0
550,77.9730520071555,210,0,0
551,77.94672639067822,212,0,0
552,77.94799714820502,212,0,0
553,77.94826752055475,216,0,0
554,77.97994422745468,212,0,0
555,77.97499285306193,215,0,0
556,77.98253291762661,213,0,0
557,77.97392210147528,216,0,0
558,77.9913428184966,215,0,0
559,77.98910164847484,216,0,0
560,77.99769340441522,215,0,0
561,77.99189365276634,215,0,0
562,77.98940383264326,216,0,0
563,77.99790636244683,216,0,0
564,78.00158157062064,215,0,0
565,77.99364449489708,216,0,0
566,77.99976027184782,216,0,0
567,78.00240100596673,215,0,0
568,78.0005778493661,216,0,0
569,78.00300380726664,216,0,0
570,78.00388923034497,216,0,0
571,78.0042516363561,215,0,0
572,77.9948560968558,215,0,0
573,77.9907649750003,214,0,0
574,77.9793949289518,212,0,0
575,77.96187626123088,215,0,0
576,77.98306159088521,209,0,0
577,77.9481037004391,212,0,0
578,77.94885568586616,211,0,0
579,77.94570611804826,216,0,0
580,77.97906628669669,211,0,0
581,77.96508102732085,214,0,0
582,77.97547490191914,213,0,0
583,77.97105819166833,216,0,0
584,77.99008509650155,215,0,0
585,77.98853416500347,216,0,0
586,77.99743301513402,215,0,0
587,77.99177271782688,215,0,0
588,77.98934714920097,216,0,0
589,77.99787960371563,216,0,0
590,78.00156886599005,215,0,0
591,77.99363843462254,216,0,0
592,77.99975736973848,216,0,0
593,78.00239961164874,215,0,0
594,78.00057717758503,216,0,0
595,78.00300348281914,216,0,0
596,78.00388907331703,216,0,0
597,78.00425156021615,215,0,0
598,77.99485605987633,215,0,0
599,77.990764957014,214,0,0
600,77.9793949201921,212,0,0
601,77.96187625695966,215,0,0
602,77.9310706995211,210,0,0
603,77.83509569876081,212,0,0
604,77.75729574563861,212,0,0
605,77.67354560215804,216,0,0
606,77.61866735509369,212,0,0
607,77.51927249159213,215,0,0
